image_path,gt_path
OFRD\train\image_data\1620330562216.png,OFRD\train\gt_image\1620330562216_fillcolor.png
OFRD\train\image_data\1623733103404.png,OFRD\train\gt_image\1623733103404_fillcolor.png
OFRD\train\image_data\1623170271700.png,OFRD\train\gt_image\1623170271700_fillcolor.png
OFRD\train\image_data\1624045585863.png,OFRD\train\gt_image\1624045585863_fillcolor.png
OFRD\train\image_data\1623734232678.png,OFRD\train\gt_image\1623734232678_fillcolor.png
OFRD\train\image_data\1623734155002.png,OFRD\train\gt_image\1623734155002_fillcolor.png
OFRD\train\image_data\1620330543934.png,OFRD\train\gt_image\1620330543934_fillcolor.png
OFRD\train\image_data\1623731186192.png,OFRD\train\gt_image\1623731186192_fillcolor.png
OFRD\train\image_data\1620330544219.png,OFRD\train\gt_image\1620330544219_fillcolor.png
OFRD\train\image_data\1623734172232.png,OFRD\train\gt_image\1623734172232_fillcolor.png
OFRD\train\image_data\1623731180710.png,OFRD\train\gt_image\1623731180710_fillcolor.png
OFRD\train\image_data\1623734153225.png,OFRD\train\gt_image\1623734153225_fillcolor.png
OFRD\train\image_data\1623170259358.png,OFRD\train\gt_image\1623170259358_fillcolor.png
OFRD\train\image_data\1623733136600.png,OFRD\train\gt_image\1623733136600_fillcolor.png
OFRD\train\image_data\1623734206647.png,OFRD\train\gt_image\1623734206647_fillcolor.png
OFRD\train\image_data\1623734176468.png,OFRD\train\gt_image\1623734176468_fillcolor.png
OFRD\train\image_data\1623697243363.png,OFRD\train\gt_image\1623697243363_fillcolor.png
OFRD\train\image_data\1619783796319.png,OFRD\train\gt_image\1619783796319_fillcolor.png
OFRD\train\image_data\1623731247512.png,OFRD\train\gt_image\1623731247512_fillcolor.png
OFRD\train\image_data\1623697286271.png,OFRD\train\gt_image\1623697286271_fillcolor.png
OFRD\train\image_data\1623697223889.png,OFRD\train\gt_image\1623697223889_fillcolor.png
OFRD\train\image_data\1620373622291.png,OFRD\train\gt_image\1620373622291_fillcolor.png
OFRD\train\image_data\1623733099765.png,OFRD\train\gt_image\1623733099765_fillcolor.png
OFRD\train\image_data\1623171167246.png,OFRD\train\gt_image\1623171167246_fillcolor.png
OFRD\train\image_data\1620497377348.png,OFRD\train\gt_image\1620497377348_fillcolor.png
OFRD\train\image_data\1623697288560.png,OFRD\train\gt_image\1623697288560_fillcolor.png
OFRD\train\image_data\1623734153789.png,OFRD\train\gt_image\1623734153789_fillcolor.png
OFRD\train\image_data\1619783794542.png,OFRD\train\gt_image\1619783794542_fillcolor.png
OFRD\train\image_data\1623170262893.png,OFRD\train\gt_image\1623170262893_fillcolor.png
OFRD\train\image_data\1623171167746.png,OFRD\train\gt_image\1623171167746_fillcolor.png
OFRD\train\image_data\1620497399109.png,OFRD\train\gt_image\1620497399109_fillcolor.png
OFRD\train\image_data\1623734151751.png,OFRD\train\gt_image\1623734151751_fillcolor.png
OFRD\train\image_data\1623731247236.png,OFRD\train\gt_image\1623731247236_fillcolor.png
OFRD\train\image_data\1620330559419.png,OFRD\train\gt_image\1620330559419_fillcolor.png
OFRD\train\image_data\1623734157819.png,OFRD\train\gt_image\1623734157819_fillcolor.png
OFRD\train\image_data\1623697246739.png,OFRD\train\gt_image\1623697246739_fillcolor.png
OFRD\train\image_data\1620497365522.png,OFRD\train\gt_image\1620497365522_fillcolor.png
OFRD\train\image_data\1623722177323.png,OFRD\train\gt_image\1623722177323_fillcolor.png
OFRD\train\image_data\1623734167821.png,OFRD\train\gt_image\1623734167821_fillcolor.png
OFRD\train\image_data\1623170269191.png,OFRD\train\gt_image\1623170269191_fillcolor.png
OFRD\train\image_data\1623171144626.png,OFRD\train\gt_image\1623171144626_fillcolor.png
OFRD\train\image_data\1620497378600.png,OFRD\train\gt_image\1620497378600_fillcolor.png
OFRD\train\image_data\1623170276443.png,OFRD\train\gt_image\1623170276443_fillcolor.png
OFRD\train\image_data\1623697269366.png,OFRD\train\gt_image\1623697269366_fillcolor.png
OFRD\train\image_data\1619783796537.png,OFRD\train\gt_image\1619783796537_fillcolor.png
OFRD\train\image_data\1623733106638.png,OFRD\train\gt_image\1623733106638_fillcolor.png
OFRD\train\image_data\1620497373811.png,OFRD\train\gt_image\1620497373811_fillcolor.png
OFRD\train\image_data\1623731217586.png,OFRD\train\gt_image\1623731217586_fillcolor.png
OFRD\train\image_data\1623734174493.png,OFRD\train\gt_image\1623734174493_fillcolor.png
OFRD\train\image_data\1623170256789.png,OFRD\train\gt_image\1623170256789_fillcolor.png
OFRD\train\image_data\1623697284284.png,OFRD\train\gt_image\1623697284284_fillcolor.png
OFRD\train\image_data\1623170265150.png,OFRD\train\gt_image\1623170265150_fillcolor.png
OFRD\train\image_data\1623697246283.png,OFRD\train\gt_image\1623697246283_fillcolor.png
OFRD\train\image_data\1623697289186.png,OFRD\train\gt_image\1623697289186_fillcolor.png
OFRD\train\image_data\1623697223265.png,OFRD\train\gt_image\1623697223265_fillcolor.png
OFRD\train\image_data\1623731193056.png,OFRD\train\gt_image\1623731193056_fillcolor.png
OFRD\train\image_data\1623697226470.png,OFRD\train\gt_image\1623697226470_fillcolor.png
OFRD\train\image_data\1619783807423.png,OFRD\train\gt_image\1619783807423_fillcolor.png
OFRD\train\image_data\1623731191041.png,OFRD\train\gt_image\1623731191041_fillcolor.png
OFRD\train\image_data\1623733118150.png,OFRD\train\gt_image\1623733118150_fillcolor.png
OFRD\train\image_data\1623733079341.png,OFRD\train\gt_image\1623733079341_fillcolor.png
OFRD\train\image_data\1623170257654.png,OFRD\train\gt_image\1623170257654_fillcolor.png
OFRD\train\image_data\1623697271765.png,OFRD\train\gt_image\1623697271765_fillcolor.png
OFRD\train\image_data\1619783795459.png,OFRD\train\gt_image\1619783795459_fillcolor.png
OFRD\train\image_data\1623731246675.png,OFRD\train\gt_image\1623731246675_fillcolor.png
OFRD\train\image_data\1623697278811.png,OFRD\train\gt_image\1623697278811_fillcolor.png
OFRD\train\image_data\1623697244509.png,OFRD\train\gt_image\1623697244509_fillcolor.png
OFRD\train\image_data\1623733111522.png,OFRD\train\gt_image\1623733111522_fillcolor.png
OFRD\train\image_data\1620497376914.png,OFRD\train\gt_image\1620497376914_fillcolor.png
OFRD\train\image_data\1623734154748.png,OFRD\train\gt_image\1623734154748_fillcolor.png
OFRD\train\image_data\1623722260532.png,OFRD\train\gt_image\1623722260532_fillcolor.png
OFRD\train\image_data\1623722179489.png,OFRD\train\gt_image\1623722179489_fillcolor.png
OFRD\train\image_data\1623733136901.png,OFRD\train\gt_image\1623733136901_fillcolor.png
OFRD\train\image_data\1623697232301.png,OFRD\train\gt_image\1623697232301_fillcolor.png
OFRD\train\image_data\1623733117048.png,OFRD\train\gt_image\1623733117048_fillcolor.png
OFRD\train\image_data\1623722254845.png,OFRD\train\gt_image\1623722254845_fillcolor.png
OFRD\train\image_data\1623733074683.png,OFRD\train\gt_image\1623733074683_fillcolor.png
OFRD\train\image_data\1624045588862.png,OFRD\train\gt_image\1624045588862_fillcolor.png
OFRD\train\image_data\1619783794862.png,OFRD\train\gt_image\1619783794862_fillcolor.png
OFRD\train\image_data\1623697286806.png,OFRD\train\gt_image\1623697286806_fillcolor.png
OFRD\train\image_data\1624045587662.png,OFRD\train\gt_image\1624045587662_fillcolor.png
OFRD\train\image_data\1623733076929.png,OFRD\train\gt_image\1623733076929_fillcolor.png
OFRD\train\image_data\1619783809223.png,OFRD\train\gt_image\1619783809223_fillcolor.png
OFRD\train\image_data\1619783796823.png,OFRD\train\gt_image\1619783796823_fillcolor.png
OFRD\train\image_data\1623733077465.png,OFRD\train\gt_image\1623733077465_fillcolor.png
OFRD\train\image_data\1620330541221.png,OFRD\train\gt_image\1620330541221_fillcolor.png
OFRD\train\image_data\1623171146994.png,OFRD\train\gt_image\1623171146994_fillcolor.png
OFRD\train\image_data\1623171148561.png,OFRD\train\gt_image\1623171148561_fillcolor.png
OFRD\train\image_data\1623697279159.png,OFRD\train\gt_image\1623697279159_fillcolor.png
OFRD\train\image_data\1623733115582.png,OFRD\train\gt_image\1623733115582_fillcolor.png
OFRD\train\image_data\1623734152908.png,OFRD\train\gt_image\1623734152908_fillcolor.png
OFRD\train\image_data\1623731246997.png,OFRD\train\gt_image\1623731246997_fillcolor.png
OFRD\train\image_data\1623697282419.png,OFRD\train\gt_image\1623697282419_fillcolor.png
OFRD\train\image_data\1620497370713.png,OFRD\train\gt_image\1620497370713_fillcolor.png
OFRD\train\image_data\1623734232378.png,OFRD\train\gt_image\1623734232378_fillcolor.png
OFRD\train\image_data\1623733078451.png,OFRD\train\gt_image\1623733078451_fillcolor.png
OFRD\train\image_data\1619783795223.png,OFRD\train\gt_image\1619783795223_fillcolor.png
OFRD\train\image_data\1623734233877.png,OFRD\train\gt_image\1623734233877_fillcolor.png
OFRD\train\image_data\1623731193341.png,OFRD\train\gt_image\1623731193341_fillcolor.png
OFRD\train\image_data\1623731181988.png,OFRD\train\gt_image\1623731181988_fillcolor.png
OFRD\train\image_data\1620330559130.png,OFRD\train\gt_image\1620330559130_fillcolor.png
OFRD\train\image_data\1620331079331.png,OFRD\train\gt_image\1620331079331_fillcolor.png
OFRD\train\image_data\1623731191482.png,OFRD\train\gt_image\1623731191482_fillcolor.png
OFRD\train\image_data\1623731218225.png,OFRD\train\gt_image\1623731218225_fillcolor.png
OFRD\train\image_data\1623697287442.png,OFRD\train\gt_image\1623697287442_fillcolor.png
OFRD\train\image_data\1623697291262.png,OFRD\train\gt_image\1623697291262_fillcolor.png
OFRD\train\image_data\1620373572493.png,OFRD\train\gt_image\1620373572493_fillcolor.png
OFRD\train\image_data\1619783818233.png,OFRD\train\gt_image\1619783818233_fillcolor.png
OFRD\train\image_data\1619783795036.png,OFRD\train\gt_image\1619783795036_fillcolor.png
OFRD\train\image_data\1623170272973.png,OFRD\train\gt_image\1623170272973_fillcolor.png
OFRD\train\image_data\1623733115879.png,OFRD\train\gt_image\1623733115879_fillcolor.png
OFRD\train\image_data\1620497365328.png,OFRD\train\gt_image\1620497365328_fillcolor.png
OFRD\train\image_data\1619783797130.png,OFRD\train\gt_image\1619783797130_fillcolor.png
OFRD\train\image_data\1623731195474.png,OFRD\train\gt_image\1623731195474_fillcolor.png
OFRD\train\image_data\1619783797545.png,OFRD\train\gt_image\1619783797545_fillcolor.png
OFRD\train\image_data\1623731182483.png,OFRD\train\gt_image\1623731182483_fillcolor.png
OFRD\train\image_data\1619783810416.png,OFRD\train\gt_image\1619783810416_fillcolor.png
OFRD\train\image_data\1623170279273.png,OFRD\train\gt_image\1623170279273_fillcolor.png
OFRD\train\image_data\1623731191780.png,OFRD\train\gt_image\1623731191780_fillcolor.png
OFRD\train\image_data\1623170272399.png,OFRD\train\gt_image\1623170272399_fillcolor.png
OFRD\train\image_data\1620330556928.png,OFRD\train\gt_image\1620330556928_fillcolor.png
OFRD\train\image_data\1623171148916.png,OFRD\train\gt_image\1623171148916_fillcolor.png
OFRD\train\image_data\1623733116237.png,OFRD\train\gt_image\1623733116237_fillcolor.png
OFRD\train\image_data\1623171141068.png,OFRD\train\gt_image\1623171141068_fillcolor.png
OFRD\train\image_data\1620497403131.png,OFRD\train\gt_image\1620497403131_fillcolor.png
OFRD\train\image_data\1623170272117.png,OFRD\train\gt_image\1623170272117_fillcolor.png
OFRD\train\image_data\1623731194840.png,OFRD\train\gt_image\1623731194840_fillcolor.png
OFRD\train\image_data\1623697243083.png,OFRD\train\gt_image\1623697243083_fillcolor.png
OFRD\train\image_data\1623170271425.png,OFRD\train\gt_image\1623170271425_fillcolor.png
OFRD\train\image_data\1620497378423.png,OFRD\train\gt_image\1620497378423_fillcolor.png
OFRD\train\image_data\1619783811637.png,OFRD\train\gt_image\1619783811637_fillcolor.png
OFRD\train\image_data\1620373618268.png,OFRD\train\gt_image\1620373618268_fillcolor.png
OFRD\train\image_data\1623171140744.png,OFRD\train\gt_image\1623171140744_fillcolor.png
OFRD\train\image_data\1623722181487.png,OFRD\train\gt_image\1623722181487_fillcolor.png
OFRD\train\image_data\1623731246325.png,OFRD\train\gt_image\1623731246325_fillcolor.png
OFRD\train\image_data\1623697247174.png,OFRD\train\gt_image\1623697247174_fillcolor.png
OFRD\train\image_data\1623733115122.png,OFRD\train\gt_image\1623733115122_fillcolor.png
OFRD\train\image_data\1620497377914.png,OFRD\train\gt_image\1620497377914_fillcolor.png
OFRD\train\image_data\1623171165581.png,OFRD\train\gt_image\1623171165581_fillcolor.png
OFRD\train\image_data\1623170251443.png,OFRD\train\gt_image\1623170251443_fillcolor.png
OFRD\train\image_data\1619783818838.png,OFRD\train\gt_image\1619783818838_fillcolor.png
OFRD\train\image_data\1619783809937.png,OFRD\train\gt_image\1619783809937_fillcolor.png
OFRD\train\image_data\1620497377624.png,OFRD\train\gt_image\1620497377624_fillcolor.png
OFRD\train\image_data\1623734169760.png,OFRD\train\gt_image\1623734169760_fillcolor.png
OFRD\train\image_data\1623697221221.png,OFRD\train\gt_image\1623697221221_fillcolor.png
OFRD\train\image_data\1620497381432.png,OFRD\train\gt_image\1620497381432_fillcolor.png
OFRD\train\image_data\1619783794319.png,OFRD\train\gt_image\1619783794319_fillcolor.png
OFRD\train\image_data\1623734175707.png,OFRD\train\gt_image\1623734175707_fillcolor.png
OFRD\train\image_data\1624045588060.png,OFRD\train\gt_image\1624045588060_fillcolor.png
OFRD\train\image_data\1623734203841.png,OFRD\train\gt_image\1623734203841_fillcolor.png
OFRD\train\image_data\1623731247804.png,OFRD\train\gt_image\1623731247804_fillcolor.png
OFRD\train\image_data\1623733112117.png,OFRD\train\gt_image\1623733112117_fillcolor.png
OFRD\train\image_data\1623171106889.png,OFRD\train\gt_image\1623171106889_fillcolor.png
OFRD\train\image_data\1620330544430.png,OFRD\train\gt_image\1620330544430_fillcolor.png
OFRD\train\image_data\1619783791616.png,OFRD\train\gt_image\1619783791616_fillcolor.png
OFRD\train\image_data\1620330597623.png,OFRD\train\gt_image\1620330597623_fillcolor.png
OFRD\train\image_data\1619783792219.png,OFRD\train\gt_image\1619783792219_fillcolor.png
OFRD\train\image_data\1623733107911.png,OFRD\train\gt_image\1623733107911_fillcolor.png
OFRD\train\image_data\1623697247572.png,OFRD\train\gt_image\1623697247572_fillcolor.png
OFRD\train\image_data\1619783818653.png,OFRD\train\gt_image\1619783818653_fillcolor.png
OFRD\train\image_data\1624045586468.png,OFRD\train\gt_image\1624045586468_fillcolor.png
OFRD\train\image_data\1623733074417.png,OFRD\train\gt_image\1623733074417_fillcolor.png
OFRD\train\image_data\1623170251777.png,OFRD\train\gt_image\1623170251777_fillcolor.png
OFRD\train\image_data\1623734229009.png,OFRD\train\gt_image\1623734229009_fillcolor.png
OFRD\train\image_data\1623170278319.png,OFRD\train\gt_image\1623170278319_fillcolor.png
OFRD\train\image_data\1623170276863.png,OFRD\train\gt_image\1623170276863_fillcolor.png
OFRD\train\image_data\1623733111819.png,OFRD\train\gt_image\1623733111819_fillcolor.png
OFRD\train\image_data\1623731203200.png,OFRD\train\gt_image\1623731203200_fillcolor.png
OFRD\train\image_data\1624045586261.png,OFRD\train\gt_image\1624045586261_fillcolor.png
OFRD\train\image_data\1623734161113.png,OFRD\train\gt_image\1623734161113_fillcolor.png
OFRD\train\image_data\1623170256045.png,OFRD\train\gt_image\1623170256045_fillcolor.png
OFRD\train\image_data\1624045585460.png,OFRD\train\gt_image\1624045585460_fillcolor.png
OFRD\train\image_data\1620497376224.png,OFRD\train\gt_image\1620497376224_fillcolor.png
OFRD\train\image_data\1623170250513.png,OFRD\train\gt_image\1623170250513_fillcolor.png
OFRD\train\image_data\1623170272701.png,OFRD\train\gt_image\1623170272701_fillcolor.png
OFRD\train\image_data\1623734172576.png,OFRD\train\gt_image\1623734172576_fillcolor.png
OFRD\train\image_data\1623697233288.png,OFRD\train\gt_image\1623697233288_fillcolor.png
OFRD\train\image_data\1623171147425.png,OFRD\train\gt_image\1623171147425_fillcolor.png
OFRD\train\image_data\1619783812238.png,OFRD\train\gt_image\1619783812238_fillcolor.png
OFRD\train\image_data\1620497403905.png,OFRD\train\gt_image\1620497403905_fillcolor.png
OFRD\train\image_data\1619783791826.png,OFRD\train\gt_image\1619783791826_fillcolor.png
OFRD\train\image_data\1623170254159.png,OFRD\train\gt_image\1623170254159_fillcolor.png
OFRD\train\image_data\1623733104330.png,OFRD\train\gt_image\1623733104330_fillcolor.png
OFRD\train\image_data\1620497369028.png,OFRD\train\gt_image\1620497369028_fillcolor.png
OFRD\train\image_data\1620497400832.png,OFRD\train\gt_image\1620497400832_fillcolor.png
OFRD\train\image_data\1620497378111.png,OFRD\train\gt_image\1620497378111_fillcolor.png
OFRD\train\image_data\1623722179195.png,OFRD\train\gt_image\1623722179195_fillcolor.png
OFRD\train\image_data\1619783810817.png,OFRD\train\gt_image\1619783810817_fillcolor.png
OFRD\train\image_data\1620373621995.png,OFRD\train\gt_image\1620373621995_fillcolor.png
OFRD\train\image_data\1619783817135.png,OFRD\train\gt_image\1619783817135_fillcolor.png
OFRD\train\image_data\1623733100086.png,OFRD\train\gt_image\1623733100086_fillcolor.png
OFRD\train\image_data\1623731200639.png,OFRD\train\gt_image\1623731200639_fillcolor.png
OFRD\train\image_data\1619783808176.png,OFRD\train\gt_image\1619783808176_fillcolor.png
OFRD\train\image_data\1623722178043.png,OFRD\train\gt_image\1623722178043_fillcolor.png
OFRD\train\image_data\1620330543635.png,OFRD\train\gt_image\1620330543635_fillcolor.png
OFRD\train\image_data\1620497367236.png,OFRD\train\gt_image\1620497367236_fillcolor.png
OFRD\train\image_data\1623697291612.png,OFRD\train\gt_image\1623697291612_fillcolor.png
OFRD\train\image_data\1619783798737.png,OFRD\train\gt_image\1619783798737_fillcolor.png
OFRD\train\image_data\1619783811218.png,OFRD\train\gt_image\1619783811218_fillcolor.png
OFRD\train\image_data\1623733117710.png,OFRD\train\gt_image\1623733117710_fillcolor.png
OFRD\train\image_data\1620373618085.png,OFRD\train\gt_image\1620373618085_fillcolor.png
OFRD\train\image_data\1619783791328.png,OFRD\train\gt_image\1619783791328_fillcolor.png
OFRD\train\image_data\1623697289908.png,OFRD\train\gt_image\1623697289908_fillcolor.png
OFRD\train\image_data\1620497378922.png,OFRD\train\gt_image\1620497378922_fillcolor.png
OFRD\train\image_data\1619783812032.png,OFRD\train\gt_image\1619783812032_fillcolor.png
OFRD\train\image_data\1620497366133.png,OFRD\train\gt_image\1620497366133_fillcolor.png
OFRD\train\image_data\1620497403433.png,OFRD\train\gt_image\1620497403433_fillcolor.png
OFRD\train\image_data\1623734161379.png,OFRD\train\gt_image\1623734161379_fillcolor.png
OFRD\train\image_data\1619783807714.png,OFRD\train\gt_image\1619783807714_fillcolor.png
OFRD\train\image_data\1623722260209.png,OFRD\train\gt_image\1623722260209_fillcolor.png
